0,18
1,19
2,16
3,21
4,18
5,23
6,28
7,14
8,14
9,11
10,13
11,26
12,18
13,16
14,26
15,15
16,24
17,19
18,21
19,22
20,27
21,14
22,22
23,23
24,18
25,17
26,24
27,19
28,23
29,28
30,22
31,17
32,18
33,19
34,20
35,13
36,24
37,15
38,24
39,17
40,32
41,16
42,22
43,19
44,12
45,26
46,16
47,21
48,20
49,26
50,15
51,19
52,24
53,18
54,26
55,13
56,18
57,17
58,19
59,23
60,15
61,21
62,28
63,20
64,20
65,25
66,23
67,11
68,27
69,18
70,17
71,30
72,19
73,20
74,33
75,20
76,20
77,26
78,21
79,23
80,18
81,18
82,16
83,14
84,17
85,17
86,19
87,15
88,20
89,24
90,18
91,19
92,17
93,22
94,23
95,17
96,19
97,21
98,23
99,28
100,19
101,15
102,18
103,24
104,20
105,17
106,23
107,18
108,19
109,23
110,22
111,16
112,17
113,18
114,15
115,26
116,23
117,24
118,22
119,18
120,14
121,21
122,23
123,19
124,17
125,29
126,22
127,23
128,23
129,16
130,21
131,25
132,25
133,22
134,26
135,15
136,21
137,21
138,21
139,19
140,11
141,19
142,14
143,22
144,20
145,19
146,16
147,21
148,17
149,24
150,24
151,18
152,19
153,21
154,13
155,23
156,24
157,18
158,19
159,19
160,17
161,16
162,20
163,21
164,14
165,18
166,21
167,23
168,15
169,23
170,14
171,18
172,25
173,18
174,20
175,14
176,28
177,17
178,29
179,21
180,21
181,16
182,18
183,22
184,22
185,26
186,21
187,22
188,16
189,20
190,27
191,25
192,21
193,14
194,21
195,16
196,18
197,21
198,23
199,16
200,28
201,24
202,23
203,22
204,14
205,26
206,15
207,18
208,12
209,17
210,19
211,19
212,23
213,13
214,19
215,12
216,18
217,20
218,19
219,25
220,19
221,24
222,25
223,23
224,17
225,20
226,20
227,25
228,25
229,19
230,19
231,23
232,20
233,31
234,26
235,21
236,11
237,17
238,20
239,20
240,23
241,26
242,30
243,19
244,18
245,17
246,19
247,17
248,16
249,16
250,26
251,29
252,23
253,21
254,25
255,22
256,14
257,21
258,18
259,19
260,22
261,10
262,18
263,16
264,15
265,26
266,14
267,13
268,14
269,16
270,33
271,22
272,22
273,14
274,14
275,20
276,21
277,19
278,18
279,21
280,27
281,18
282,16
283,20
284,16
285,18
286,19
287,13
288,20
289,22
290,25
291,20
292,20
293,15
294,11
295,22
296,20
297,13
298,17
299,18
300,20
301,19
302,11
303,19
304,22
305,19
306,16
307,10
308,17
309,20
310,15
311,20
312,24
313,21
314,22
315,20
316,19
317,20
318,17
319,23
320,15
321,20
322,17
323,20
324,26
325,15
326,20
327,15
328,21
329,20
330,18
331,20
332,20
333,22
334,16
335,16
336,27
337,28
338,26
339,17
340,28
341,29
342,22
343,30
344,18
345,22
346,18
347,17
348,15
349,11
350,20
351,24
352,21
353,19
354,18
355,23
356,20
357,17
358,28
359,15
360,24
361,18
362,22
363,21
364,20
365,13
366,25
367,15
368,17
369,17
370,25
371,15
372,22
373,21
374,12
375,26
376,23
377,19
378,24
379,19
380,12
381,14
382,18
383,24
384,13
385,18
386,22
387,13
388,18
389,30
390,18
391,14
392,10
393,21
394,21
395,16
396,24
397,24
398,18
399,22
